ThreatID;Threat_Name;Description;URL
53;Flawed key generation;;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
54;Lack of address control creation;;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
55;Pre-image attack;When an attacker tries to find a message that has a specific hash value. ;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
56;Transaction malleability attack;It is the process of changing the unique identifier of a transaction by first changing the digital signature;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
57;DAO attack;Decentralised Autonomous Organisation (DAO). A program built on the etherium network was breached. First, the attacker exposed a malicious smart contract with a callback function, including the DAO�s withdrawal function call. Withdraw () sent Ether to the called party, and this also occurred in the form of a call. Therefore, the malicious smart contract�s callback function was called again. In this way, an attacker was able to steal all the Ether from DAO;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
58;BGP hijacks;"The Border Gateway Protocol (BGP) is used to share routing information networks on the internet, which specify how IP packets are forwarded to their destinations. An attacker can intercept the blockchain network by manipulating the BGP, after which data can be routed
and the traffic can be modified to the attacker�s favor";https://www.sciencedirect.com/science/article/pii/S0167739X17318332
59;Ballot stuffing attack;In a ballot-stuffing attack, the malicious participant tries to boost the trustworthiness of other malicious participants by providing false favorable recommendations. This can increase their chance of being selected as a trustworthy participant.;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
60;Impersonation attack;The attacker pretends to be a legitimate user to perform unauthorized operations;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
61;Message spoofing attack;An attacker may change the identity of the data owner by causing a spoofing attack;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
62;Code injection;These attacks use malicious data to attack software systems and can be launched against the client-side of an application, but also against the server-side the database, and the smart contracts. Once executed, they can substantially impact the newly minted victim, exposing any locally available information. Attacks like these are successful through various strategies, from malicious links to corrupted websites, all shared with unsuspecting users;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
63;SQL injection;These attacks use malicious data to attack software systems and can be launched against the client-side of an application, but also against the server-side the database, and the smart contracts. Once executed, they can substantially impact the newly minted victim, exposing any locally available information. Attacks like these are successful through various strategies, from malicious links to corrupted websites, all shared with unsuspecting users;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
64;Fault injection;These attacks use malicious data to attack software systems and can be launched against the client-side of an application, but also against the server-side the database, and the smart contracts. Once executed, they can substantially impact the newly minted victim, exposing any locally available information. Attacks like these are successful through various strategies, from malicious links to corrupted websites, all shared with unsuspecting users;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
65;Tampering attack;This attack alters the information received by nodes, and modifies their views of the ledger state;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
66;Man in the middle attack;In a MITM attack, a malicious actor compromises the communication between two parties and steals or tampers with the information they exchange.;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
67;AS-level deployment analysis;This technique aims to crawl the bitcoin network by recursively connecting to clients, requesting and collecting their lists of other peer's IP addresses. In this way, one can obtain concrete information on size, structure and distribution of the core network;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
68;Transaction graph analysis;This type of analysis focuses on discovering some overall transaction features (e.g., daily turnover, exchange rate or transaction pattern) over time. Could potentially find the historical transactions of a participant;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
69;Refund attack;This attack takes advantage of several vulnerabilities and attacks and acts basically as a potential consquence of thse attacks. Such as man-in-the-middle attack. The attack can be a man in the middle and perform a cancel order and getting the refunds.;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
70;Wallet attack;This is a term implementing several types of attacks. This could be physical theft, everything located to key stealing/vulnerabilities, spoofing, man-in-the-middle and other types of attacks. Hard to spesify;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
71;Address Clustering;A strategy to link the addresses to a spesific participant in the network based on key architectural spesifications of the transactions. Some of the addresses can be discovered to be corresponded to the same user;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
72;Network analysis;In a P2P network,  a node will leak its IP address when broadcasting transactions;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
73;Cloning attack;"The Cloning Attack consists of one or two sealer, attacker(s) cloning a private key to convince half of the honest sealers that a transaction is correctly committed before erasing this transaction to double spend its coins. Thanks to the cloning, to convince half of the honest sealers that transactions 
are committed, the attacker simply needs to delay messages between two halves of honest sealers. This is done against Proof of Authority consensus";https://www.sciencedirect.com/science/article/pii/S0167739X17318332
74;Long range attack;This type of attack is similar to 51% attack on PoW, but this is a theoretical threat in PoS consensus blockchain. The goal of this attack to take control over a blockchain with a false chain.;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
75;Censorship attack;Censorship attack against to DPoS means that BPs(Block producers) refuse to process valid transactions. This is not dangerous if one single BP refuses. However, if the majority of BPs are under the attackers controle, this could hault the system.;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
76;Quantum attack;Theoretically, quantum computers can threaten the blockchain because it can potentially crack public-key cryptography;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
77;Propagation delay;The propagation delay in actual Bitcoin is defined as the difference between the time that a node announces the discovery of a new block or a transaction and the time that other nodes receive the information for a period of operation;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
78;Exception disorder ;In solidity, the exception will be raised if something is wrong (gas runs out, call stack overflow, etc.). If the contract mishandles the exceptions, the attacker can successfully launch attack.;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
79;Reliable data source;When executing smart contracts, it is important that the source of data is reliable. It will check the external environment if it is able to trigger the contract according to the data, as well as checking the information of the state.;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
80;Identifier leaks in HTLC;;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
81;Sniffing;;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
82;Routing attack;Attackers goal is to partition the network into two or more disjoint components. When preventing components to communicate with nodes, the attacker forces the creation of parallel blockckchains.;https://www.sciencedirect.com/science/article/pii/S0167739X17318332
83;DNS Hijack;Attacks on the DNS service in the network layer. This can be flooding the system causing denial of service or implementing rogue DNS;https://www.sciencedirect.com/science/article/pii/S0167739X17318332

